,H1_L1
0,0.11644468028346255
1,0.11644468028346255
2,0.11644468028346255
3,0.08671398503823347
4,0.12107307647287957
5,0.026888062362396492
6,0.09938255065429469
7,0.11637821296562445
8,0.36615515967930945
9,0.2943621590419394
10,0.29111564064854334
11,0.17806979204668782
12,0.11526796254450855
13,0.11526796254450855
14,0.11526796254450855
15,0.11526796254450855
16,0.3708512461128807
17,0.41397847661242526
18,0.41676968023095573
19,0.39261459371853524
20,0.4130194462225034
21,0.41405454079538806
22,0.353307071595638
23,0.353307071595638
24,0.36262954000390824
25,0.36262954000390824
26,0.36262954000390824
27,0.36262954000390824
28,0.3165909809503096
29,0.2532514780283266
30,0.2078004253579958
31,0.18262823556095575
32,0.17392245333131184
33,0.1257927608341437
34,0.1257927608341437
35,0.1846252281777092
36,0.19721251506979587
37,0.1331437230638146
38,0.1331437230638146
39,0.1331437230638146
40,0.1331437230638146
41,0.1331437230638146
42,0.1331437230638146
43,0.1331437230638146
44,0.1331437230638146
45,0.1331437230638146
46,0.1331437230638146
47,0.35931549186068024
48,0.35931549186068024
49,0.35931549186068024
50,0.35931549186068024
51,0.35931549186068024
52,0.35931549186068024
53,0.35931549186068024
54,0.35931549186068024
55,0.22617176879686562
56,0.34331115424611247
57,0.34331115424611247
58,0.11713938544924685
59,0.11713938544924685
60,0.11713938544924685
61,0.11713938544924685
62,0.11713938544924685
63,0.11713938544924685
64,0.11713938544924685
65,0.11713938544924685
66,0.11713938544924685
67,0.11713938544924685
68,0.11713938544924685
69,0.11713938544924685
70,0.11713938544924685
71,0.11713938544924685
72,0.11713938544924685
73,0.06666539271326521
74,0.277754689178217
75,0.2386915551577562
76,0.2236510467297963
77,0.2543449673107061
78,0.21027520261046206
79,0.21819052075154377
80,0.21564454401711552
81,0.21564454401711552
82,0.24442126560016297
83,0.24442126560016297
84,0.24442126560016297
85,0.14999397759598532
86,0.25720283502493124
87,0.25720283502493124
88,0.1848088447689722
89,0.2391698762470662
90,0.1566790546302489
91,0.16369894356588222
92,0.16369894356588222
93,0.1690790627275447
94,0.06187020529859877
95,0.06187020529859877
96,0.07306484805827862
97,0.08686033889968925
98,0.07354044145204908
99,0.07576084993397536
100,0.0577094648530192
101,0.06125211695502464
102,0.08441070755660685
103,0.057071495466340605
104,0.057071495466340605
105,0.057071495466340605
106,0.057071495466340605
107,0.05169137630467813
108,0.05169137630467813
109,0.11916306029908497
110,0.13056398831858962
111,0.1804517881411266
112,0.0730463904241192
113,0.0730463904241192
114,0.07530372732853297
115,0.08309477705234791
116,0.07530372732853297
117,0.05214513672695076
118,0.12305703164021353
119,0.16054372255194116
120,0.19586183746903052
121,0.21075120039056583
122,0.22425889769413798
123,0.22425889769413798
124,0.2981489930316784
125,0.33877041249005657
126,0.30101624315713726
127,0.27003878738626885
128,0.07379796701821084
129,0.07379796701821084
130,0.12123633362569797
131,0.12123633362569797
132,0.07379796701821084
133,0.07379796701821084
134,0.07379796701821084
135,0.07890939567316624
136,0.07379796701821084
137,0.06499062327324834
138,0.03757843457549448
139,0.03757843457549448
140,0.02145044341112612
141,0.02145044341112612
142,0.0
143,0.24747738163321698
144,0.24747738163321698
145,0.24747738163321698
146,0.24747738163321698
147,0.24747738163321698
148,0.24747738163321698
149,0.24747738163321698
150,0.24747738163321698
151,0.24761809176363458
152,0.24761809176363458
153,0.24761809176363458
154,0.05682304413730366
155,0.05668233400688605
156,0.06033767248034949
157,0.003655338473463443
158,0.003655338473463443
159,0.003655338473463443
160,0.003655338473463443
161,0.003655338473463443
